date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:02	121055/121055	---M-Z	200	added ('OK')	text/html	etag:%221d8df-5610e17f630c0-gzip%22	http://doc.superbtc.org/en/release/v0.13.0.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/release/v0.13.0.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:03	301/301	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202019%2009:12:59%20GMT	http://doc.superbtc.org/en/glossary/inventory	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/inventory	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:04	109642/109642	---M-Z	200	added ('OK')	text/html	etag:%221ac4a-5610e17f630c0-gzip%22	http://doc.superbtc.org/en/release/v0.12.0.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/release/v0.12.0.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:04	297/297	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202019%2009:12:59%20GMT	http://doc.superbtc.org/en/release/v0.9.0	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/release/v0.9.4c.delayed	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:04	297/297	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202019%2009:13:00%20GMT	http://doc.superbtc.org/en/release/v0.6.1	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/release/v0.6.1	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:04	297/297	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202019%2009:13:00%20GMT	http://doc.superbtc.org/en/release/v0.6.0	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/release/v0.6.0	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:04	10229/10229	---M-Z	200	added ('OK')	text/html	etag:%2227f5-5610faf5c0380-gzip%22	http://doc.superbtc.org/en/glossary/message-header.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/message-header.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:05	11193/11193	---M-Z	200	added ('OK')	text/html	etag:%222bb9-5610fb1ec2440-gzip%22	http://doc.superbtc.org/en/glossary/bloom-filter.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/bloom-filter.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:05	10250/10250	---M-Z	200	added ('OK')	text/html	etag:%22280a-5610e1e56e180-gzip%22	http://doc.superbtc.org/en/glossary/serialized-block.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/serialized-block.html	(from http://doc.superbtc.org/en/developer-reference.html)
18:13:05	11408/11408	---M-Z	200	added ('OK')	text/html	etag:%222c90-5610fe9795540-gzip%22	http://doc.superbtc.org/en/glossary/stale-block.html	C:/Bitcoin%20API%20Reference/Bitcoin%20API%20Reference/doc.superbtc.org/en/glossary/stale-block.html	(from http://doc.superbtc.org/en/developer-reference.html)
